Date,mvrv,hash_rate,adr_act_cnt,tx_cnt
2009-01-03,,,0,0
2009-01-04,,,0,0
2009-01-05,,,0,0
2009-01-06,,,0,0
2009-01-07,,,0,0
2009-01-08,,,0,0
2009-01-09,,9.444951229e-07,19,0
2009-01-10,,3.0323264474e-06,61,0
2009-01-11,,4.6230550755e-06,95,1
2009-01-12,,4.6727653451e-06,101,6
2009-01-13,,6.1143631644e-06,123,0
2009-01-14,,6.4126247822e-06,133,1
2009-01-15,,6.2634939733e-06,140,8
2009-01-16,,5.36870912e-06,114,2
2009-01-17,,5.4184193896e-06,109,0
2009-01-18,,5.3189988503e-06,111,1
2009-01-19,,5.7166810074e-06,133,2
2009-01-20,,5.6669707377e-06,123,1
2009-01-21,,5.0704475022e-06,116,2
2009-01-22,,4.5236345362e-06,95,1
2009-01-23,,4.1756626488e-06,91,1
2009-01-24,,9.9917641955e-06,212,1
2009-01-25,,9.4946614992e-06,193,1
2009-01-26,,4.7721858844e-06,117,1
2009-01-27,,4.821896154e-06,101,1
2009-01-28,,5.5675501985e-06,112,0
2009-01-29,,6.0149426251e-06,134,1
2009-01-30,,5.8161015466e-06,117,0
2009-01-31,,6.8600172088e-06,159,1
2009-02-01,,5.6172604681e-06,116,1
2009-02-02,,6.3629145125e-06,130,1
2009-02-03,,6.9097274785e-06,154,16
2009-02-04,,5.9155220859e-06,119,0
2009-02-05,,6.2634939733e-06,126,0
2009-02-06,,6.0646528948e-06,122,0
2009-02-07,,6.4126247822e-06,156,4
2009-02-08,,6.5617555911e-06,134,1
2009-02-09,,6.6611761303e-06,179,1
2009-02-10,,5.9652323555e-06,120,0
2009-02-11,,6.6114658607e-06,148,2
2009-02-12,,5.9155220859e-06,119,0
2009-02-13,,6.164073434e-06,124,0
2009-02-14,,6.7605966696e-06,136,0
2009-02-15,,6.3629145125e-06,142,3
2009-02-16,,6.0646528948e-06,153,1
2009-02-17,,5.8161015466e-06,117,0
2009-02-18,,5.8658118162e-06,118,0
2009-02-19,,6.164073434e-06,141,1
2009-02-20,,6.0646528948e-06,122,0
2009-02-21,,5.6669707377e-06,114,0
2009-02-22,,6.0149426251e-06,133,4
2009-02-23,,5.36870912e-06,108,0
2009-02-24,,5.2692885807e-06,106,0
2009-02-25,,5.2195783111e-06,105,0
2009-02-26,,5.3189988503e-06,107,0
2009-02-27,,5.7166810074e-06,152,1
2009-02-28,,4.9213166933e-06,107,1
2009-03-01,,5.2195783111e-06,105,0
2009-03-02,,5.36870912e-06,108,0
2009-03-03,,5.2195783111e-06,114,2
2009-03-04,,5.1698680414e-06,130,2
2009-03-05,,5.5675501985e-06,121,1
2009-03-06,,5.8161015466e-06,117,0
2009-03-07,,5.4184193896e-06,109,0
2009-03-08,,5.7166810074e-06,142,3
2009-03-09,,5.36870912e-06,108,0
2009-03-10,,5.3189988503e-06,107,0
2009-03-11,,5.6669707377e-06,114,0
2009-03-12,,5.8658118162e-06,122,1
2009-03-13,,5.6172604681e-06,127,1
2009-03-14,,5.4681296592e-06,110,0
2009-03-15,,6.1143631644e-06,123,0
2009-03-16,,6.0149426251e-06,170,1
2009-03-17,,5.6669707377e-06,114,0
2009-03-18,,5.6669707377e-06,129,2
2009-03-19,,6.0646528948e-06,122,0
2009-03-20,,5.8658118162e-06,131,1
2009-03-21,,2.4855134814e-06,50,0
2009-03-22,,5.9155220859e-06,131,2
2009-03-23,,6.4623350518e-06,130,0
2009-03-24,,5.2195783111e-06,105,0
2009-03-25,,5.8161015466e-06,117,0
2009-03-26,,5.8161015466e-06,146,1
2009-03-27,,5.2692885807e-06,106,0
2009-03-28,,5.9155220859e-06,140,3
2009-03-29,,5.766391277e-06,116,0
2009-03-30,,5.9652323555e-06,120,0
2009-03-31,,5.4681296592e-06,143,1
2009-04-01,,5.6669707377e-06,114,0
2009-04-02,,5.7166810074e-06,115,0
2009-04-03,,5.766391277e-06,116,0
2009-04-04,,5.6172604681e-06,113,0
2009-04-05,,6.4623350518e-06,148,2
2009-04-06,,5.4184193896e-06,109,0
2009-04-07,,4.9710269629e-06,100,0
2009-04-08,,5.2195783111e-06,105,0
2009-04-09,,4.9213166933e-06,99,0
2009-04-10,,5.36870912e-06,108,0
2009-04-11,,5.9652323555e-06,128,1
2009-04-12,,5.8658118162e-06,127,2
2009-04-13,,5.7166810074e-06,117,1
2009-04-14,,6.164073434e-06,124,0
2009-04-15,,5.6172604681e-06,113,0
2009-04-16,,6.1143631644e-06,123,0
2009-04-17,,5.5675501985e-06,112,0
2009-04-18,,6.2634939733e-06,131,4
2009-04-19,,5.9155220859e-06,128,1
2009-04-20,,5.9155220859e-06,236,2
2009-04-21,,6.1143631644e-06,125,1
2009-04-22,,6.0149426251e-06,121,0
2009-04-23,,3.7282702222e-06,75,0
2009-04-24,,5.7166810074e-06,115,0
2009-04-25,,5.8658118162e-06,118,0
2009-04-26,,5.5675501985e-06,128,2
2009-04-27,,5.1698680414e-06,104,0
2009-04-28,,5.8161015466e-06,117,0
2009-04-29,,6.3629145125e-06,149,1
2009-04-30,,6.5120453214e-06,131,0
2009-05-01,,6.0149426251e-06,121,0
2009-05-02,,6.2634939733e-06,142,2
2009-05-03,,5.2692885807e-06,110,3
2009-05-04,,6.3629145125e-06,159,1
2009-05-05,,6.7108864e-06,146,1
2009-05-06,,6.7108864e-06,135,0
2009-05-07,,6.0646528948e-06,122,0
2009-05-08,,5.3189988503e-06,107,0
2009-05-09,,3.8774010311e-06,78,0
2009-05-10,,4.2253729185e-06,85,0
2009-05-11,,5.9652323555e-06,123,1
2009-05-12,,6.4623350518e-06,130,0
2009-05-13,,5.5178399288e-06,117,5
2009-05-14,,6.9097274785e-06,145,3
2009-05-15,,6.7605966696e-06,147,1
2009-05-16,,5.9155220859e-06,119,0
2009-05-17,,6.3132042429e-06,127,0
2009-05-18,,5.8658118162e-06,118,0
2009-05-19,,4.2750831881e-06,86,0
